function	analyzer	tokenizer	run no	mean absolute error	mean squared error	perfects	recall 1	recall 2	recall 3	recall 4	recall 5	precision 1	precision 2	precision 3	precision 4	precision 5
sample_reviews_polar	ThreeCheat	PlainTokenizer	1	2.0	4.0	0	0.0	inf	inf	inf	0.0	inf	inf	0.0	inf	inf
sample_reviews_polar	ThreeCheat	LowercaseTokenizer	1	2.0	4.0	0	0.0	inf	inf	inf	0.0	inf	inf	0.0	inf	inf
sample_reviews_polar	ThreeCheat	NLTKWordTokenizer	1	2.0	4.0	0	0.0	inf	inf	inf	0.0	inf	inf	0.0	inf	inf
sample_reviews_polar	ThreeCheat	PottsTokenizer	1	2.0	4.0	0	0.0	inf	inf	inf	0.0	inf	inf	0.0	inf	inf
sample_reviews_polar	ThreeCheat	PottsTokenizerWithNegation	1	2.0	4.0	0	0.0	inf	inf	inf	0.0	inf	inf	0.0	inf	inf
sample_reviews_polar	ThreeCheat	HuggingBertTokenizer	1	2.0	4.0	0	0.0	inf	inf	inf	0.0	inf	inf	0.0	inf	inf
sample_reviews_polar	NLTKSentimentAnalyzer	PlainTokenizer	1	1.06	4.24	735	0.636	inf	inf	inf	0.834	0.7930174563591023	inf	inf	inf	0.6961602671118531
sample_reviews_polar	NLTKSentimentAnalyzer	LowercaseTokenizer	1	0.984	3.936	754	0.676	inf	inf	inf	0.832	0.8009478672985783	inf	inf	inf	0.7197231833910035
sample_reviews_polar	NLTKSentimentAnalyzer	NLTKWordTokenizer	1	1.212	4.848	697	0.57	inf	inf	inf	0.824	0.7640750670241286	inf	inf	inf	0.6570972886762361
sample_reviews_polar	NLTKSentimentAnalyzer	PottsTokenizer	1	1.084	4.336	729	0.598	inf	inf	inf	0.86	0.8102981029810298	inf	inf	inf	0.6814580031695721
sample_reviews_polar	NLTKSentimentAnalyzer	PottsTokenizerWithNegation	1	0.996	3.984	751	0.644	inf	inf	inf	0.858	0.8193384223918575	inf	inf	inf	0.7067545304777595
sample_reviews_polar	NLTKSentimentAnalyzer	HuggingBertTokenizer	1	1.08	4.32	730	0.626	inf	inf	inf	0.834	0.7904040404040404	inf	inf	inf	0.6903973509933775
sample_reviews_polar	TensorflowPolarSentimentAnalyzer	PlainTokenizer	1													
sample_reviews_polar	TensorflowPolarSentimentAnalyzer	PlainTokenizer	2													
sample_reviews_polar	TensorflowPolarSentimentAnalyzer	PlainTokenizer	3													
sample_reviews_polar	TensorflowPolarSentimentAnalyzer	PlainTokenizer	4	0.532	2.128	867	0.908	inf	inf	inf	0.826	0.8391866913123844	inf	inf	inf	0.8997821350762527
sample_reviews_polar	TensorflowPolarSentimentAnalyzer	LowercaseTokenizer	1													
sample_reviews_polar	TensorflowPolarSentimentAnalyzer	LowercaseTokenizer	2	0.624	2.496	844	0.894	inf	inf	inf	0.794	0.8127272727272727	inf	inf	inf	0.8822222222222222
sample_reviews_polar	TensorflowPolarSentimentAnalyzer	NLTKWordTokenizer	1													
sample_reviews_polar	TensorflowPolarSentimentAnalyzer	NLTKWordTokenizer	2	0.588	2.352	853	0.842	inf	inf	inf	0.864	0.8609406952965235	inf	inf	inf	0.8454011741682974
sample_reviews_polar	TensorflowPolarSentimentAnalyzer	PottsTokenizer	1													
sample_reviews_polar	TensorflowPolarSentimentAnalyzer	PottsTokenizer	2	0.48	1.92	880	0.84	inf	inf	inf	0.92	0.9130434782608695	inf	inf	inf	0.8518518518518519
sample_reviews_polar	TensorflowPolarSentimentAnalyzer	PottsTokenizerWithNegation	1													
sample_reviews_polar	TensorflowPolarSentimentAnalyzer	PottsTokenizerWithNegation	2	0.448	1.792	888	0.914	inf	inf	inf	0.862	0.8688212927756654	inf	inf	inf	0.9092827004219409
